453286,519299,"","","","In play, no out","En juego, no out",X,30236,2013-04-13T03:02:36Z,94.42,180.46,130412_200233,85.2,79.2,3.09,1.5,-4.23,-9.55,0.209,1.0,-2.797,50.0,5.275,10.937,-124.418,-3.536,-17.421,23.853,-34.389,23.8,23.9,9.8,CH,0.903,14,23,277.246,2047.738,"","",23,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_23,"","","",""
453286,424825,"",519299,"",Foul,Foul,S,30404,2013-04-13T03:04:04Z,95.28,156.29,130412_200401,85.1,78.3,3.24,1.5,-4.48,-9.97,0.152,2.043,-2.735,50.0,5.353,10.816,-124.378,-0.793,-18.327,25.879,-35.902,23.8,24.2,10.3,CH,0.903,8,28,281.498,2181.495,"","",24,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_24,"","","",""
453286,424825,"",519299,"",Foul,Foul,S,30439,2013-04-13T03:04:39Z,103.86,158.01,130412_200435,92.5,84.6,3.24,1.5,-3.69,-5.36,-0.056,1.988,-2.859,50.0,5.112,10.866,-135.182,-4.216,-18.146,31.519,-21.801,23.7,34.6,6.1,FF,0.875,8,30,240.245,2243.172,"","",24,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_24,"","","",""
453286,424825,"",519299,"","In play, out(s)","En juego, out(s)",X,30517,2013-04-13T03:05:17Z,105.58,123.47,130412_200514,93.7,86.4,3.24,1.5,-2.86,-3.29,-0.134,3.439,-2.898,50.0,5.268,10.234,-137.098,-2.367,-14.865,29.113,-14.067,23.8,41.1,4.1,FF,0.911,11,43,219.383,2479.081,"","",24,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_24,"","","",""
453286,476704,"",519299,"",Ball,Bola mala,B,30602,2013-04-13T03:06:02Z,107.3,117.43,130412_200559,76.7,71.6,3.45,1.5,1.51,-11.82,-0.246,3.637,-2.878,50.0,5.739,5.005,-112.3,3.409,3.799,18.522,-36.008,23.9,-7.3,11.2,CU,0.924,11,84,44.736,697.28,"","",25,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_25,"","","",""
453286,476704,"","","","In play, out(s)","En juego, out(s)",X,30728,2013-04-13T03:07:28Z,106.44,160.6,130412_200725,84.6,79.1,3.45,1.5,-4.28,-9.27,-0.208,1.85,-2.815,50.0,5.411,9.915,-123.713,-1.895,-17.257,21.565,-33.649,23.9,24.8,9.6,CH,0.903,8,32,274.885,2031.107,"","",25,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_25,"","","",""
453286,502210,"","","",Ball,Bola mala,B,30829,2013-04-13T03:08:29Z,97.0,175.28,130412_200826,91.8,84.7,3.6,1.7,-3.15,-4.77,0.117,1.26,-2.787,50.0,5.225,10.613,-133.994,-6.962,-15.477,28.25,-18.747,23.8,33.5,5.4,FF,0.821,14,19,229.056,2218.449,"","",26,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_26,"","","",""
453286,502210,"","","",Foul,Foul,S,30844,2013-04-13T03:08:44Z,90.13,134.7,130412_200841,91.8,85.3,3.49,1.5,-3.27,-4.08,0.326,2.893,-2.795,50.0,5.277,11.351,-134.12,-3.172,-16.189,25.2,-16.934,23.8,38.8,4.9,FF,0.876,3,37,226.729,2405.039,"","",26,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_26,"","","",""
547874,435079,"","","",Ball,Bola mala,B,30902,2013-04-13T03:09:02Z,49.79,194.28,130412_200924,87.2,80.2,3.51,1.52,-9.74,2.0,1.631,0.348,-2.117,50.0,5.355,12.541,-127.147,-6.764,-15.817,27.911,-28.848,23.8,23.7,8.3,SI,0.587,14,29,258.125,1844.233,"","",25,2013_04_12_texmlb_seamlb_1,2013_04_12_texmlb_seamlb_1_25,"","","",""
547874,435079,"","","",Foul,Foul,S,30926,2013-04-13T03:09:26Z,134.76,150.24,130412_200947,89.4,81.2,3.35,1.5,-11.37,3.65,-1.125,2.314,-2.466,50.0,5.362,7.22,-130.96,-2.776,-19.392,32.36,-25.882,23.7,33.6,7.6,SI,0.921,13,55,252.023,2258.508,"","",25,2013_04_12_texmlb_seamlb_1,2013_04_12_texmlb_seamlb_1_25,"","","",""
453286,502210,"","","",Foul,Foul,S,31014,2013-04-13T03:10:14Z,80.69,146.79,130412_201011,93.7,85.6,3.49,1.5,-2.43,-4.2,0.584,2.462,-2.853,50.0,5.068,11.729,-136.839,-3.785,-13.298,31.883,-17.444,23.7,30.1,4.6,FF,0.899,6,39,222.074,2103.951,"","",26,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_26,"","","",""
453286,502210,"","","",Foul,Foul,S,31050,2013-04-13T03:10:50Z,121.03,151.97,130412_201047,92.7,84.7,3.49,1.5,-2.56,-3.92,-0.58,2.227,-2.988,50.0,5.056,8.855,-135.598,-4.616,-12.972,31.623,-15.675,23.7,33.2,4.4,FF,0.894,4,43,218.174,2245.52,"","",26,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_26,"","","",""
112526,488671,"","","",Foul,Foul,S,31345,2013-04-13T03:13:45Z,90.99,146.79,130412_201342,88.4,82.8,3.38,1.5,-1.71,-5.52,0.322,2.372,-1.159,50.0,5.668,5.322,-129.525,-4.308,-7.768,22.582,-21.552,23.9,17.2,5.5,FF,0.917,6,47,216.177,1473.952,"","",27,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_27,"","","",""
475115,501647,"","","",Ball,Bola mala,B,31404,2013-04-13T03:14:04Z,151.07,113.98,130412_201415,91.9,86.0,3.42,1.55,-3.08,6.14,-1.674,3.791,-1.544,50.0,6.673,0.728,-134.734,-3.879,-5.762,24.334,-20.611,23.9,14.8,4.8,FF,0.901,11,35,206.486,1391.099,"","",27,2013_04_12_colmlb_sdnmlb_1,2013_04_12_colmlb_sdnmlb_1_27,"","","",""
112526,488671,"","","",Called Strike,Strike cantado,S,31438,2013-04-13T03:14:38Z,125.32,126.93,130412_201434,90.9,84.3,3.41,1.55,-3.43,-6.34,-0.754,3.287,-1.138,50.0,5.717,3.888,-133.276,-1.403,-15.169,26.751,-26.432,23.8,28.4,6.8,FF,0.61,11,59,249.266,1765.571,"","",27,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_27,"","","",""
112526,488671,"","","",Ball,Bola mala,B,31503,2013-04-13T03:15:03Z,144.21,143.33,130412_201500,92.9,85.6,3.38,1.64,-3.31,-4.13,-1.314,2.638,-0.768,50.0,5.802,1.265,-136.073,-5.365,-14.669,29.911,-16.85,23.8,38.6,5.0,FF,0.916,11,21,223.748,2261.719,"","",27,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_27,"","","",""
112526,488671,"","","",Ball,Bola mala,B,31527,2013-04-13T03:15:27Z,59.23,158.01,130412_201524,90.2,84.0,3.42,1.63,-3.56,-5.71,1.287,1.955,-0.74,50.0,5.548,8.421,-131.918,-5.05,-16.303,24.773,-22.811,23.9,32.0,6.3,FT,0.486,14,63,240.13,2067.59,"","",27,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_27,"","","",""
112526,425509,"","","","In play, out(s)","En juego, out(s)",X,31628,2013-04-13T03:16:28Z,78.97,160.6,130412_201625,89.2,83.2,3.58,1.5,-3.32,-5.81,0.745,1.923,-1.025,50.0,5.536,7.446,-130.549,-4.963,-14.821,24.083,-22.808,23.9,29.7,6.3,FF,0.698,14,71,237.709,1948.36,"","",28,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_28,"","","",""
112526,430603,"","","",Foul,Foul,S,31701,2013-04-13T03:17:01Z,102.15,146.79,130412_201657,90.9,84.2,3.6,1.5,-2.75,-4.28,0.019,2.387,-0.836,50.0,5.712,4.611,-133.122,-5.555,-12.419,26.841,-16.898,23.8,32.6,4.8,FF,0.915,5,38,219.109,2145.544,"","",29,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_29,"","","",""
112526,430603,"","","",Foul,Foul,S,31720,2013-04-13T03:17:20Z,120.17,123.47,130412_201717,92.6,85.1,3.6,1.5,-1.82,-3.78,-0.534,3.447,-0.836,50.0,5.844,2.371,-135.755,-3.514,-8.357,30.278,-15.557,23.8,25.6,4.0,FF,0.941,1,52,206.697,1987.751,"","",29,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_29,"","","",""
112526,430603,"","","","In play, out(s)","En juego, out(s)",X,31746,2013-04-13T03:17:46Z,67.81,150.24,130412_201743,90.9,84.6,3.6,1.5,-4.78,-4.97,1.04,2.305,-0.927,50.0,5.559,9.326,-132.859,-4.779,-21.835,24.691,-20.082,23.9,43.9,6.5,FF,0.756,14,52,241.022,2725.521,"","",29,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_29,"","","",""
453286,493316,"","","","In play, out(s)","En juego, out(s)",X,32057,2013-04-13T03:20:57Z,105.58,144.2,130412_202054,92.1,84.5,3.45,1.5,-2.73,-3.98,-0.113,2.557,-2.832,50.0,5.253,9.801,-134.63,-4.155,-13.707,29.678,-15.965,23.8,34.5,4.5,FF,0.885,5,24,220.218,2287.507,"","",30,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_30,"","","",""
453286,461235,"","","",Ball,Bola mala,B,32142,2013-04-13T03:21:42Z,44.64,182.19,130412_202139,78.6,73.0,3.32,1.39,1.39,-10.75,1.764,0.951,-2.725,50.0,5.563,9.546,-114.829,-3.199,2.752,22.245,-32.743,23.8,-7.4,10.3,CU,0.906,14,69,78.318,355.05,"","",31,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_31,"","","",""
453286,461235,"","","",Foul,Foul,S,32204,2013-04-13T03:22:04Z,121.03,158.88,130412_202201,83.9,77.8,3.41,1.5,-4.54,-9.76,-0.535,1.853,-2.965,50.0,5.298,9.571,-122.696,-1.253,-17.845,23.551,-34.458,23.8,25.0,10.1,CH,0.899,7,43,277.294,2127.241,"","",31,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_31,"","","",""
453286,461235,"","","",Ball,Bola mala,B,32246,2013-04-13T03:22:46Z,127.9,108.8,130412_202243,92.0,84.5,3.55,1.69,-2.71,-4.25,-0.855,4.036,-2.935,50.0,5.313,8.026,-134.69,0.002,-13.275,29.38,-18.066,23.8,32.6,4.7,FF,0.894,11,48,223.257,2086.574,"","",31,2013_04_12_detmlb_oakmlb_1,2013_04_12_detmlb_oakmlb_1_31,"","","",""
