pitcher_id,batter_id,on_1b,on_2b,on_3b,des,des_es,s_or_ball,tfs,tfs_zulu,x,y,sv_id,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,type_confidence,zone,nasty,spin_dir,spin_rate,cc,mt,num,game_id,game_id_num,inning,inning_num,away_team,home_team
457448,477165,514888,"","",Ball,Bola mala,B,1654,2013-04-01T00:16:54Z,77.25,160.6,130331_191652,92.6,85.3,3.54,1.5,14.39,7.5,0.581,1.811,1.883,50.0,6.187,-8.466,-135.231,-8.266,26.63,29.661,-18.229,23.8,-51.2,7.0,FT,0.955,9,59,117.64,3224.919,"","",5,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_5,"","","",""
457448,477165,514888,"","",Ball In Dirt,Bola por el suelo,B,1716,2013-04-01T00:17:16Z,128.76,191.69,130331_191714,87.1,80.8,3.46,1.68,6.42,6.25,-0.865,0.503,1.918,50.0,6.066,-9.084,-127.064,-9.614,10.527,25.474,-21.866,23.8,-20.5,6.3,FC,0.704,13,45,134.399,1682.218,"","",5,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_5,"","","",""
457448,477165,"","","",Swinging Strike,Strike tirándole,S,1808,2013-04-01T00:18:08Z,149.36,166.65,130331_191806,86.9,80.4,3.61,1.5,3.82,3.14,-1.493,1.78,1.896,50.0,6.313,-9.73,-126.974,-5.97,6.223,26.395,-26.982,23.8,-8.8,7.1,FC,0.932,13,28,129.84,926.003,"","",5,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_5,"","","",""
457448,474892,"","","",Called Strike,Strike cantado,S,1839,2013-04-01T00:18:39Z,82.4,145.92,130331_191837,78.6,73.3,3.59,1.84,5.39,-1.69,0.513,2.462,1.885,50.0,6.436,-4.722,-115.227,-1.511,7.274,20.631,-34.38,23.9,-10.7,10.6,CU,0.892,6,78,73.129,957.034,"","",6,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_6,"","","",""
457448,474892,"","","",Foul Tip,Foul atrás,S,1849,2013-04-01T00:18:49Z,79.83,168.37,130331_191847,91.7,84.7,3.57,1.5,13.94,6.79,0.639,1.482,1.707,50.0,6.205,-7.618,-133.983,-8.759,25.351,28.843,-19.755,23.8,-47.8,7.2,FT,0.949,14,60,116.1,3056.721,"","",6,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_6,"","","",""
457448,474892,"","","",Called Strike,Strike cantado,S,1903,2013-04-01T00:19:03Z,73.82,158.01,130331_191901,94.3,86.5,3.55,1.8,12.45,9.51,0.9,2.01,1.605,50.0,6.252,-6.302,-137.835,-8.964,23.837,32.018,-13.885,23.8,-54.6,5.8,FT,0.953,14,70,127.498,3162.365,"","",6,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_6,"","","",""
502032,134181,"","","",Called Strike,Strike cantado,S,2159,2013-04-01T00:21:59Z,87.55,132.11,130331_192157,90.9,83.2,3.36,1.58,1.91,10.54,0.395,3.118,-1.233,50.0,5.872,3.618,-133.193,-4.683,3.404,30.581,-13.3,23.8,-16.3,3.4,FC,0.911,3,58,169.778,2088.986,"","",7,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_7,"","","",""
502032,134181,"","","",Swinging Strike,Strike tirándole,S,2213,2013-04-01T00:22:13Z,100.43,161.47,130331_192211,83.6,77.9,3.52,1.5,5.57,0.95,0.056,1.837,-1.475,50.0,6.04,1.956,-122.587,-3.861,8.498,23.521,-30.65,23.9,-15.7,8.6,SL,0.903,8,27,100.167,1021.759,"","",7,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_7,"","","",""
502032,134181,"","","","In play, out(s)","En juego, out(s)",X,2236,2013-04-01T00:22:36Z,98.71,179.6,130331_192234,82.6,76.8,3.52,1.5,6.22,-1.05,0.019,0.956,-1.307,50.0,5.897,1.238,-121.012,-4.744,9.198,24.073,-33.656,23.8,-15.2,9.8,SL,0.903,14,13,80.847,1116.947,"","",7,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_7,"","","",""
502032,461815,"","","",Ball,Bola mala,B,2314,2013-04-01T00:23:14Z,153.65,124.34,130331_192311,91.7,83.4,3.62,1.76,-1.42,10.32,-1.56,3.46,-1.67,50.0,5.834,0.776,-134.405,-3.709,-2.559,32.833,-13.488,23.7,9.4,3.3,FF,0.905,11,49,187.796,2035.813,"","",8,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_8,"","","",""
502032,461815,"","","",Ball,Bola mala,B,2334,2013-04-01T00:23:34Z,129.61,101.02,130331_192332,91.5,83.2,3.61,1.72,-1.58,10.48,-0.858,4.59,-1.292,50.0,5.993,1.683,-134.195,-1.188,-2.837,32.411,-13.232,23.7,10.2,3.1,FF,0.905,11,48,188.516,2070.661,"","",8,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_8,"","","",""
502032,461815,"","","",Ball,Bola mala,B,2359,2013-04-01T00:23:59Z,90.99,117.43,130331_192357,92.1,84.3,3.69,1.78,-0.57,9.69,0.347,3.614,-1.381,50.0,5.771,4.791,-135.02,-3.04,-1.044,31.214,-14.329,23.8,-0.2,3.3,FF,0.905,3,47,183.346,1920.714,"Bud Norris is having trouble locating his four-seam fastball, missing the strike zone with his last three.","",8,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_8,"","","",""
502032,461815,"","","",Called Strike,Strike cantado,S,2417,2013-04-01T00:24:17Z,120.17,156.29,130331_192414,91.4,83.5,3.73,1.76,-0.39,11.07,-0.496,2.06,-1.512,50.0,5.716,2.807,-133.813,-7.301,-0.701,31.353,-12.21,23.7,0.3,3.1,FF,0.903,7,48,182.009,2165.803,"","",8,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_8,"","","",""
502032,461815,"","","",Foul,Foul,S,2438,2013-04-01T00:24:38Z,128.76,138.15,130331_192436,92.7,84.5,3.76,1.5,-1.15,9.75,-0.886,2.789,-1.515,50.0,5.696,2.076,-135.87,-5.117,-2.116,33.15,-14.095,23.7,6.0,3.4,FF,0.905,11,51,186.674,1943.603,"","",8,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_8,"","","",""
